CustomerID,CustomerName,LoanID,LoanAmount,LoanInterestRate,LoanDuration,LoanStartDate,OfficerID,OfficerName,OfficerPhone,OfficerEmail,BranchID,BranchName,BranchAddress,PaymentID,PaymentDate,PaymentAmount,TransactionID,TransactionDate,TransactionType
88,Nicole Pena,148,6723.11,8.24,24 months,2022-09-24,7,Katherine Dennis,999.798.3635x80775,jessewalker@example.net,11,Shaw Ltd,"USCGC Whitney
FPO AP 34274",4028,2024-01-17,405.12,4873,2024-01-17,Principal Payment
434,Matthew Holmes,200,27375.26,4.35,36 months,2023-10-04,31,Angela Bennett,+1-242-684-4907,cody43@example.net,7,Castillo-Bell,"358 Connie Fort Apt. 573
Kimchester, ME 83801",1453,2024-03-01,2619.69,5876,2024-03-01,Interest Payment
64,Christian Blair,412,30519.88,4.1,48 months,2022-12-22,35,Chad Walker,(816)957-8642x934,samanthaphillips@example.org,7,"Harris, Randolph and Johns","USS Sullivan
FPO AP 14466",5478,2023-11-26,2882.62,7023,2023-11-26,Interest Payment
430,James Allen,300,38167.5,8.14,36 months,2020-05-01,10,Daniel Holmes,9538673266,patricksimmons@example.org,19,"Hayes, Wilson and Taylor","24435 Gomez Ville
New Christinaborough, GU 54053",5335,2023-11-29,418.59,4580,2023-11-29,Interest Payment
57,Kristin Reyes,33,11355.12,4.16,48 months,2020-01-23,1,Francisco Barton,570-874-2272x9540,brianwade@example.net,2,Brown Group,"7573 Cassidy Ports
Danielview, DE 97424",3527,2022-02-17,128.4,2016,2022-02-17,Loan Payment
496,Rhonda Turner,609,16920.72,7.56,12 months,2021-11-03,28,Elizabeth Maldonado,817-968-4960x65064,mcmillanhannah@example.net,14,"Perez, James and Cook","475 Lee Trace Suite 096
Port Derrickside, OH 73316",8800,2023-10-11,1298.31,5460,2023-10-11,Principal Payment
180,Brittney Townsend,507,30032.34,9.18,12 months,2022-01-27,2,Chad Patel,843-668-9649,catherine82@example.com,12,Manning and Sons,"051 Reed Unions Apt. 672
East Patrick, LA 63870",9978,2024-01-09,1213.98,2965,2024-01-09,Interest Payment
44,Nicole Simpson,439,25035.36,8.64,48 months,2020-07-18,39,Louis Anderson,998-773-8272x862,monica08@example.net,14,"Dodson, Ramsey and Nielsen","348 Griffin Mount
Russellborough, DC 61686",150,2020-08-01,1458.19,8753,2020-08-01,Interest Payment
419,Eric Garcia,965,20132.06,9.71,24 months,2021-11-29,20,Kayla Macdonald,934.461.1157,mhayes@example.net,9,"Boone, Hall and Fernandez","0050 Prince Stream
Michelletown, VT 17199",4248,2023-09-03,202.59,3042,2023-09-03,Principal Payment
413,Tonya Leach,490,5439.26,6.83,60 months,2020-12-27,2,Kevin Pierce,977-835-8232,rnelson@example.com,20,"Glover, Hickman and Camacho","951 Rebecca Harbor Suite 286
Port Michellehaven, ID 65625",8041,2021-05-10,117.42,4364,2021-05-10,Interest Payment
